alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.5601839,,,1613.1704,1607.5074,-1.6699444,0.17842774461808006,-0.9232291,500.0,20.99283134195691,4388.417268166939,1.480992,7.543433333333334e-05,0.000226303,0.000226303,3.8724983,-618.0006,,,147456,0.0
0.5422988,,,1535.0621,1533.4681,-1.6922299,0.17911685552630596,-0.9492078,500.0,13.750671451633972,4913.127413636235,1.4232049,7.5101e-05,0.00022530299999999997,0.00022530299999999997,3.5504107,-623.89105,,,149504,0.0
0.5264703,,,1157.1096,1161.7532,-1.7259722,0.07320455902768012,-0.949056,500.0,10.549456598667415,5280.329204103105,1.3505825,7.476766666666667e-05,0.00022430299999999997,0.00022430299999999997,1.7869743,-634.4461,,,151552,0.0
0.5065245,,,1279.077,1281.3777,-1.7569609,0.061589576889517425,-0.9527626,455.7,4.968330712809413,3107.7863873219967,1.2757713,7.442483333333335e-05,0.0002232745,0.0002232745,1.6897862,-636.82294,,,153600,0.0
0.49567747,,,1047.8009,1045.2786,-1.7338979,0.0,-0.95547086,455.7,58.18612631153441,3331.9631183114993,1.2324845,7.40915e-05,0.0002222745,0.0002222745,1.3599823,-641.44073,,,155648,2.4
0.48919386,,,1096.5491,1095.842,-1.7204959,0.08612420304657512,-0.96585685,455.7,82.10787963550851,3353.943396433287,1.1820319,7.375816666666667e-05,0.0002212745,0.0002212745,1.3870313,-644.8694,,,157696,2.4
0.4866981,,,1664.845,1663.8242,-1.7182176,0.19025905425609435,-1.0190299,451.2,53.64565758239765,3037.6469579080713,1.0934715,7.342283333333333e-05,0.00022026849999999995,0.00022026849999999995,4.545447,-643.4316,,,159744,1.0
0.48571247,,,1575.3956,1569.5826,-1.7227863,0.11602404300046136,-1.0202757,451.2,32.01866664862372,3755.644327077999,1.0545031,7.308950000000001e-05,0.0002192685,0.0002192685,5.7220626,-646.74475,,,161792,1.0
0.48480707,,,1729.738,1730.4144,-1.7343899,0.13213363178774198,-0.9882024,451.2,48.88244581698415,4753.4675735822575,1.0149095,7.275616666666667e-05,0.00021826849999999999,0.00021826849999999999,3.1080658,-649.7291,,,163840,3.7
0.48341402,,,1585.7614,1585.3838,-1.6928217,0.12024443999679986,-1.003491,500.0,25.192640528868857,5448.079405257965,0.9758836,7.242283333333333e-05,0.00021726849999999996,0.00021726849999999996,1.2845119,-656.9579,,,165888,2.7
0.4826942,,,2030.9486,2031.5762,-1.6862692,0.0,-1.0033286,500.0,0.06909485597873548,4313.315978523583,0.93023825,7.208950000000002e-05,0.0002162685,0.0002162685,1.3656375,-654.861,,,167936,0.0
0.4829802,,,1295.6692,1296.2091,-1.7212394,0.09224007311207963,-1.0122457,451.1,70.22468396147164,3217.403492303183,0.87291133,7.1671e-05,0.00021501299999999996,0.00021501299999999996,1.3462038,-649.87946,,,169984,2.9
0.48222494,,,1438.6819,1437.2877,-1.7193924,0.09224007311207963,-1.0325516,451.1,89.0081532529683,3733.162661357773,0.84104884,7.133766666666667e-05,0.00021401299999999999,0.00021401299999999999,1.4664938,-651.4583,,,172032,3.9
0.4873898,,,1505.2036,1507.6068,-1.7236719,0.10561032889189279,-1.0504339,500.0,116.20778835818787,5405.99149342604,0.8038591,7.100433333333333e-05,0.000213013,0.000213013,4.092231,-661.4801,,,174080,3.4
0.49770865,,,1782.5957,1788.3142,-1.7057747,0.09480207564059726,-1.0234041,500.0,93.10701062085995,5348.423248241577,0.7625699,7.0671e-05,0.00021201299999999996,0.00021201299999999996,4.297826,-670.6408,,,176128,3.2
0.50046957,,,1622.9567,1625.9125,-1.7042392,0.014995875466788466,-0.95855826,500.0,84.57240239467085,6036.588711044818,0.72644633,7.033766666666667e-05,0.00021101299999999997,0.00021101299999999997,4.33088,-684.2257,,,178176,2.2
0.48515517,,,1214.806,1219.4731,-1.7210999,0.0,-0.9057104,500.0,50.59580795978236,5306.063696303418,0.701273,7.000433333333334e-05,0.000210013,0.000210013,1.722588,-691.3628,,,180224,2.2
0.46355534,,,1049.4503,1055.12,-1.715275,0.09614937935058729,-0.93297994,500.0,25.332772643378128,4729.016018449093,0.67476344,6.967099999999999e-05,0.00020901299999999997,0.00020901299999999997,1.5287794,-699.7401,,,182272,0.0
0.44545847,,,1720.5182,1722.7991,-1.6926733,0.09614937935058729,-0.9463364,500.0,8.282498176888462,4688.735966511935,0.6502171,6.933766666666667e-05,0.00020801299999999998,0.00020801299999999998,1.9043735,-702.91766,,,184320,0.0
0.4298366,,,1878.6377,1878.3848,-1.6832225,0.026767319164171254,-0.94974023,500.0,34.04782053578596,5154.656093886022,0.6428621,6.900433333333334e-05,0.00020701299999999998,0.00020701299999999998,1.330187,-706.1297,,,186368,3.1
0.41670132,,,2117.2075,2119.6821,-1.6759083,0.02641296457762572,-0.95772994,500.0,77.35811484963776,4405.843736505945,0.6268545,6.8671e-05,0.00020601299999999995,0.00020601299999999995,1.196202,-705.7596,,,188416,9.4
0.40380365,,,1539.5919,1544.0917,-1.6694982,0.335615915032273,-0.9565924,500.0,85.1240589188219,4310.6564384297,0.6013974,6.833766666666667e-05,0.000205013,0.000205013,1.2727484,-708.4811,,,190464,7.6
0.3883983,,,1534.8936,1540.8176,-1.691654,0.441004739862856,-0.9597006,500.0,135.42372522866742,5378.139033048823,0.5886484,6.7921e-05,0.00020376299999999998,0.00020376299999999998,1.2268232,-707.82947,,,192512,2.5
0.38108215,,,1644.0986,1644.3972,-1.7319319,0.4059964806032029,-0.97142494,500.0,158.33331251210933,5454.740086207866,0.590978,6.758766666666667e-05,0.00020276299999999998,0.00020276299999999998,5.1675153,-708.5264,,,194560,3.1
